Part,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,batch
2,0,43.0,105.0,2609.3,73.0,-74.71,125.0,1.43,1.31,48.43,10017.51,30.77,45.95,57.9,43.32,47.89,105.2,1519.46,43.1,28.87,3,4263.29,73.82,1.23,125.03,65.14,83.17,77,-76.0,0
2,0,43.0,105.0,2609.3,73.0,-80.0,125.0,1.6,1.31,48.43,10004.54,39.61,47.75,57.9,47.17,43.88,105.55,1551.88,43.36,28.97,3,3910.51,71.2,1.23,124.71,65.14,84.23,77,-77.74,0
2,0,43.0,105.0,2609.3,73.0,-45.0,125.0,1.46,1.31,38.54,10011.02,38.81,48.0,59.12,46.78,37.84,105.2,1616.08,43.36,27.46,3,3436.45,68.2,1.23,124.71,65.14,86.3,75,-79.49,0
2,0,43.0,105.0,2609.3,73.0,-80.0,85.0,1.46,1.31,38.54,10011.02,38.81,48.0,59.12,46.78,37.84,105.2,1616.08,43.36,27.46,3,3436.45,68.2,1.23,124.71,65.14,86.3,75,-79.49,0
1,3,39.0,105.0,2078.95,55.0,-79.99,120.0,43.61,1.22,41.42,9305.45,57.23,54.38,62.36,63.09,41.86,106.27,2103.11,47.87,26.82,3,1962.39,49.11,0.9,120.23,64.85,48.02,68,-79.85,0
1,3,39.0,105.0,2078.95,56.0,-79.99,120.0,43.06,1.22,44.03,9587.55,48.35,52.58,62.36,63.09,44.18,104.48,1987.68,46.66,27.39,3,1693.26,54.26,0.9,119.91,64.85,33.22,68,-79.85,0
1,3,39.0,105.0,2078.95,58.0,-79.99,120.0,42.71,1.22,44.03,9876.13,45.54,52.58,62.36,63.09,43.8,105.2,1949.42,46.66,27.39,3,1551.88,54.26,0.9,119.91,64.85,30.86,69,-79.85,0
1,3,39.0,105.0,2078.95,60.0,-79.99,120.0,41.23,1.22,43.65,9915.04,46.47,52.58,62.36,63.09,42.69,105.2,1891.7,46.66,27.73,3,1699.74,54.26,0.9,119.91,64.85,26.05,69,-79.85,0
1,3,39.0,105.0,2078.95,62.0,-79.99,120.0,40.24,1.22,43.65,10087.55,57.68,51.56,62.36,63.09,42.09,105.2,1923.48,46.01,27.83,3,3321.01,58.97,0.9,119.91,64.85,26.61,69,-80.2,0
1,3,39.0,110.0,2078.95,62.0,-79.99,120.0,37.88,1.22,39.93,10100.52,57.71,51.56,62.36,63.09,39.93,104.48,1949.42,47.65,27.49,3,3884.57,58.46,0.9,119.91,64.85,64.03,69,-79.85,0
1,3,39.0,110.0,2078.95,62.0,-79.46,120.0,33.04,1.22,41.42,9402.08,49.12,52.87,62.36,63.09,43.96,111.19,1577.82,43.16,27.83,3,1949.42,60.43,0.9,119.58,64.85,84.64,70,-80.2,0
1,3,39.0,110.0,2078.95,62.0,-78.09,120.0,33.05,1.22,44.4,9395.59,57.8,52.87,62.36,63.09,44.4,110.48,1577.82,43.16,27.83,3,1225.03,60.43,0.9,119.91,63.99,84.44,70,-78.81,0
1,3,39.0,110.0,2078.95,62.0,-78.96,120.0,33.05,1.22,44.4,9382.62,57.8,52.87,62.36,63.09,44.4,110.48,1577.82,43.16,27.83,3,1225.03,60.43,0.9,119.91,63.99,84.44,70,-78.81,0
1,3,39.0,110.0,2078.95,64.0,-78.09,120.0,33.05,1.22,44.4,9382.62,57.8,52.87,62.36,63.09,44.4,110.48,1577.82,43.16,27.83,3,1225.03,60.43,0.9,119.91,63.99,84.44,70,-78.81,0
1,3,39.0,110.0,2078.95,64.0,-79.99,120.0,32.71,1.22,44.4,9427.37,45.66,52.87,62.36,63.09,44.7,109.44,1635.54,43.42,27.8,3,2852.79,63.32,0.9,119.91,64.28,84.29,71,-79.49,0
1,3,39.0,110.0,2078.95,64.0,-79.23,120.0,31.27,1.22,44.4,9318.42,45.38,52.87,62.36,63.09,47.02,110.48,1590.79,43.42,28.2,3,2391.7,64.41,0.9,119.91,64.28,83.72,70,-79.49,0
1,3,39.0,110.0,2078.95,65.0,-79.23,120.0,30.88,1.22,44.4,9318.42,57.49,52.87,62.36,63.09,47.61,109.44,1789.23,46.85,27.56,3,2584.31,64.41,0.9,119.91,64.28,83.5,71,-78.81,0
1,3,39.0,110.0,2078.95,64.0,-77.83,120.0,30.88,1.22,44.4,9318.42,57.49,52.87,62.36,63.09,47.61,109.44,1789.23,46.85,27.56,3,2584.31,64.41,0.9,119.91,64.28,83.5,71,-78.81,0
1,3,39.0,110.0,2078.95,65.0,-79.9,120.0,30.04,1.22,47.69,9324.9,46.72,52.87,62.36,63.09,47.61,109.09,1693.26,44.83,27.56,3,1429.96,64.77,0.9,119.91,64.28,83.38,71,-79.49,0
1,3,39.0,104.0,2078.95,65.0,-79.74,120.0,55.96,1.22,44.03,9113.49,57.04,52.45,60.18,62.48,44.63,104.48,1942.93,45.38,25.98,3,1551.88,29.98,0.86,120.56,71.07,41.33,75,-71.75,0
1,3,39.0,110.0,2078.95,65.0,-79.74,120.0,53.93,1.22,44.7,9126.46,57.01,56.04,62.74,63.76,43.73,103.81,2167.32,49.48,27.46,3,2000.65,55.64,0.86,119.91,71.07,46.65,69,-79.13,0
